entry,minister,id,startdate,enddate,position,type,portfolio,code,party,partycode,PDGE,Ethnic_group,Ethnicgroup_code,Ethnic_threegroup2,Fang,Family_link,Family_link_code,Seniority
441,Pedro Ela Nguema Buna,185,2013,,Minister Delegate of Foreign Affairs,Minister Delegate,Foreign Affairs and Cooperation,4,PDGE,7,1,Fang,5,1,1,,0,2
505,Bonifacio Mitogo Edjang,38,2018,,Minister Delegate of Foreign Affairs,Minister Delegate,Foreign Affairs and Cooperation,4,PDGE,7,1,Fang,5,1,1,,0,1
64,Pilar Buepoyo Boseka,190,1998,,Minister Delegate of Health,Minister Delegate,Delegate of Health and Social Welfare,4,PDGE,7,1,Bubi,3,2,0,,0,1
151,Tomas Mecheba Fernandez Galilea,219,2003,,Minister Delegate of Health,Minister Delegate,Health and Social Welfare,4,PSGE,9,0,Ndowé,7,0,0,,0,1
354,Tomás Mecheba Fernández,219,2011,,Minister Delegate of Health,Minister Delegate,Health,4,PSGE,9,0,Ndowé,7,0,0,,0,2
392,Diosdado-Vicente Nsue Milang,65,2012,,Minister Delegate of Health,Minister Delegate,Health and Social Welfare,4,PDGE,7,1,Fang,5,1,1,,0,1
451,Miguel Obiang Abeso,177,2013,,Minister Delegate of Health,Minister Delegate,Health and Social Welfare,4,PDGE,7,1,Fang,5,1,1,,0,2
63,Pedro Cristino Bueriberi,184,1998,,Minister Delegate of Industry,Minister Delegate,"Delegate of Industry, Commerce and Small and Medium Enterprises",4,UDENA,10,0,Bubi,3,2,0,,0,2
152,Mariano Esono Ondo,159,2003,,Minister Delegate of Industry,Minister Delegate,"Industry, Commerce and the Promotion of Small and Medium-sized Enterpri",4,PDGE,7,1,Fang,5,1,1,,0,1
353,Alfonso Nsué Mokuy,10,2011,,Minister Delegate of Information,Minister Delegate,Information,4,CLD,2,0,Fang,5,1,1,,0,4
396,Teobaldo Nchaso Matomba,214,2012,,Minister Delegate of Information,Minister Delegate,"Information, Press and Radio",4,PDGE,7,1,Fang,5,1,1,,0,1
456,Federico Abaga Ondó,80,2013,,Minister Delegate of Information,Minister Delegate,"Information, Press and Radio",4,PDGE,7,1,Fang,5,1,1,,0,2
153,Gen. Jaime Obama Owono Nchama,106,2003,,Minister Delegate of Infrastructure and Forests,Minister Delegate,Infrastructure and Forests,4,PDGE,7,1,Fang,5,1,1,,0,1
59,Clemente Engonga Andeme,50,1998,,Minister Delegate of Interior,Minister Delegate,Delegate of Interior and Local Corporations,4,PDGE,7,1,Fang,5,1,1,,0,1
88,Clemente Engonga Andeme,50,1999,,Minister Delegate of Interior,Minister Delegate,Delegate of Interior and Local Corporations,4,PDGE,7,1,Fang,5,1,1,,0,2
162,Manuel Nguema Mba,147,2003,,Minister Delegate of Interior,Minister Delegate,Interior and Local Corporations,4,PDGE,7,1,Fang,5,1,1,Uncle,1,1
386,Leocadio Ndong Moñung,141,2012,,Minister Delegate of Interior,Minister Delegate,Interior and Local Corporations,4,PDGE,7,1,Fang,5,1,1,,0,2
444,Leocadio Ndong Moñung,141,2013,,Minister Delegate of Interior,Minister Delegate,Interior and Local Corporations,4,PDGE,7,1,Fang,5,1,1,,0,3
506,Fidel Nsue Micha,83,2018,,Minister Delegate of Interior,Minister Delegate,Interior and Local Corporations,4,PDGE,7,1,Fang,5,1,1,,0,2
564,Fidel Nsue Micha,83,2020,,Minister Delegate of Interior,Minister Delegate,Interior and Local Corporations,4,PDGE,7,1,Fang,5,1,1,,0,3
58,Evangelina Filomena Oyo Ebule,77,1998,,Minister Delegate of Justice,Minister Delegate,Delegate of Justice and Religious Affairs,4,PDGE,7,1,Bubi,3,2,0,,0,1
90,Evangelina Filomena Oyo Ebule,77,1999,,Minister Delegate of Justice,Minister Delegate,Delegate of Justice and Religious Affairs,4,PDGE,7,1,Bubi,3,2,0,,0,2
154,Secundino Oyono Awong Ada,210,2003,,Minister Delegate of Justice,Minister Delegate,Justice and Religion,4,CSDP,4,0,Fang,5,1,1,,0,2
384,Juan Oló Mba Nseng,136,2012,,Minister Delegate of Justice,Minister Delegate,"Justice, Religion and Penitentiary Services",4,PSGE,9,0,Fang,5,1,1,First Lady's cousin,1,4
442,Juan Oló Mba Nseng,136,2013,,Minister Delegate of Justice,Minister Delegate,"Justice, Religion and Penitentiary Services",4,PDGE,7,1,Fang,5,1,1,First Lady's cousin,1,5
507,Juan Olo Mba Nseng,136,2018,,Minister Delegate of Justice,Minister Delegate,"Justice, Worship and Penitentiary Institutions",4,PDGE,7,1,Fang,5,1,1,First Lady's cousin,1,6
563,Juan Olo Mba Nseng,136,2020,,Minister Delegate of Justice,Minister Delegate,"Justice, Worship and Penitentiary Institutions",4,PDGE,7,1,Fang,5,1,1,First Lady's cousin,1,7
65,Francisco Abaga Ndong,91,1998,,Minister Delegate of Labour,Minister Delegate,Delegate of Labour and Social Security,4,PDGE,7,1,Fang,5,1,1,,0,1
116,Secundino Oyono Awong Ada,210,2001,,Minister Delegate of Labour,Minister Delegate,Delegate to Labour and Social Security,4,Former CSDP,5,0,Fang,5,1,1,,0,1
394,Heriberto Miko Mbengono,110,2012,,Minister Delegate of Labour,Minister Delegate,Labour and Social Security,4,PDGE,7,1,Fang,5,1,1,,0,1
453,José-Angel Borico Moises,123,2013,,Minister Delegate of Labour,Minister Delegate,Labour and Social Security,4,PDGE,7,1,Bubi,3,2,0,,0,3
511,Alfredo Mitogo Mitogo Ada,11,2018,,Minister Delegate of Labour,Minister Delegate,"Labour, Promotion of Employment and Social Security",4,UP,12,0,Fang,5,1,1,,0,2
322,Gabriel Mbega Obiang Lima,102,2010,,Minister Delegate of Mines,Minister Delegate,"Mines, Industry and Energy",4,PDGE,7,1,Fang,5,1,1,Son,1,4
351,Gabriel Mbega Obiang Lima,102,2011,,Minister Delegate of Mines,Minister Delegate,"Mines, Industry and Energy",4,PDGE,7,1,Fang,5,1,1,Son,1,5
57,Melanio Ebendeng Nsono,166,1998,,Minister Delegate of National Defence,Minister Delegate,Delegate of National Defence,4,PDGE,7,1,Fang,5,1,1,,0,1
89,Melanio Ebendeng Nsono,166,1999,,Minister Delegate of National Defence,Minister Delegate,Delegate of National Defence,4,PDGE,7,1,Fang,5,1,1,,0,2
114,Melanio Ebendeng Nsono,166,2001,,Minister Delegate of National Defence,Minister Delegate,Delegate to the National Defence,4,PDGE,7,1,Fang,5,1,1,,0,3
155,Gen. Melanio Ebendeng Nsomo,166,2003,,Minister Delegate of National Defence,Minister Delegate,National Defence,4,PDGE,7,1,Fang,5,1,1,,0,4
385,Vicente Eya Olomo,222,2012,,Minister Delegate of National Defence,Minister Delegate,National Defence,4,PDGE,7,1,Fang,5,1,1,First Lady's cousin,1,1
443,Vicente Eya Olomo,222,2013,,Minister Delegate of National Defence,Minister Delegate,National Defence,4,PDGE,7,1,Fang,5,1,1,First Lady's cousin,1,2
508,Heriberto Meco Mbengono,110,2018,,Minister Delegate of National Security,Minister Delegate,National Security,4,PDGE,7,1,Fang,5,1,1,,0,3
562,Heriberto Meco Mbengono,110,2020,,Minister Delegate of National Security,Minister Delegate,National Security,4,PDGE,7,1,Fang,5,1,1,,0,4
61,Fortunato Osa Mbo,89,1998,,Minister Delegate of Planning,Minister Delegate,Delegate of Planning and Economic Development,4,PDGE,7,1,Fang,5,1,1,,0,1
156,Buenaventura Monsuy Asumu,40,2003,,Minister Delegate of Planning,Minister Delegate,Planning and Economic Development,4,PCSD,6,0,Fang,5,1,1,,0,1
389,Fortunato Ofa Mbo Nchama,88,2012,,Minister Delegate of Planning,Minister Delegate,"Planning, Economic Development and Public Investment",4,PDGE,7,1,Fang,5,1,1,,0,4
157,Alfonso Nsue Mokuy,10,2003,,"Minister Delegate of Press, Radio and Television",Minister Delegate,"Press, Radio and Television",4,CLD,2,0,Fang,5,1,1,,0,1
158,Caridad Besari Borilo,43,2003,,Minister Delegate of Public Administration,Minister Delegate,Public Service and Administrative Coordination,4,PDGE,7,1,Bubi,3,2,0,,0,1
457,Baltasar Esono Eworo Nfono,35,2013,,Minister Delegate of Public Administration,Minister Delegate,Public Administration and Administrative Reform,4,PDGE,7,1,Fang,5,1,1,,0,2
454,Reginaldo Asu Mangue,194,2013,,Minister Delegate of Public Works,Minister Delegate,Public Works and Infrastructures,4,PDGE,7,1,Fang,5,1,1,,0,2
512,Reinaldo Asu Mangue,194,2018,,Minister Delegate of Public Works,Minister Delegate,"Public Works, Housing and Urbanism",4,PDGE,7,1,Fang,5,1,1,,0,1
439,Juan-Antonio Bibang Nchuchuma,131,2013,,"Minister Delegate of the Presidency of te Republic, in charge of External Security",Minister Delegate,"to the Presidency of te Republic, in charge of External Security",4,PDGE,7,1,Fang,5,1,1,Brother-in-law,1,3
159,Hilario Sisa Torrez,112,2003,,Minister Delegate of Tourism and Culture,Minister Delegate,Tourism and Culture,4,PDGE,7,1,Annobonés,1,0,0,,0,1
568,Alberto Doria Lajay,5,2020,,Minister Delegate of Trade,Minister Delegate,Trade and the Promotion of Small and Medium-sized Businesses,4,PDGE,7,1,Bubi,3,2,0,,0,2
355,Francisco Obá Bahamonde,99,2011,,Minister Delegate of Transport,Minister Delegate,Posts and Transports,4,ADP,1,0,Fang,5,1,1,,0,3
448,Joaquin Elema Borengue,121,2013,,Minister Delegate of Transport,Minister Delegate,"Transport, Technology, Posts and Telecommunications",4,PDGE,7,1,Ndowé,7,0,0,Brother-in-law,1,2
513,Joaquin Elema Borengue,121,2018,,Minister Delegate of Transport,Minister Delegate,"Transports, Posts and Telecommunications",4,PDGE,7,1,Ndowé,7,0,0,Brother-in-law,1,3
115,Jeremias Ondo Ngomo,117,2001,,Minister Delegate of Transports and Communications,Minister Delegate,Delegate to Transports and Communications,4,UP,12,0,Fang,5,1,1,,0,1
160,Angel Eyene Avini,18,2003,,Minister Delegate of University Education and Science,Minister Delegate,University Education and Science,4,PDGE,7,1,Fang,5,1,1,,0,1
161,Jeronimo Osa Osa Ekoro,118,2003,,Minister Delegate of Youth and Sports,Minister Delegate,Youth and Sports,4,PDGE,7,1,Fang,5,1,1,,0,1
91,Carlos Eyi Obama,44,1999,,Minister Delegate to Agriculture,Minister Delegate,"Delegate to Agriculture, Livestock and Rural Development",4,PDGE,7,1,Fang,5,1,1,,0,1
481,Alfonso Nsue Mokuy,10,2018,,Minister In charge of Human Rights,Deputy PM,In charge of Human Rights,2,CLD,2,0,Fang,5,1,1,,0,5
537,Alfonso Nsue Mokuy,10,2020,,Minister In charge of Human Rights,Deputy PM,In charge of Human Rights,3,CLD,2,0,Fang,5,1,1,,0,6
325,Demetrio Elo Ndong Nsefumu,62,2011,,Minister in charge of the Political Secor and Democr,Deputy PM,"Vice-Prime Minister Second, in charge of the Political Secor and Democr",2,PDGE,7,1,Fang,5,1,1,,0,7
3,Alfredo Mokudi Nanga,12,1994,,Minister of Agriculture,Minister,"Agriculture, Fisheries and Food",3,PDGE,7,1,Fernandino,6,0,0,,0,1
17,Vidal Djoni Becoba,226,1996,,Minister of Agriculture,Minister,Agriculture,3,PDGE,7,1,Bubi,3,2,0,,0,1
50,Constantino Ekong Nsue,55,1998,,Minister of Agriculture,Minister,"Agriculture, Fisheries and Animal Husbandry",3,PDGE,7,1,Fang,5,1,1,,0,3
101,Gregorio Boho Camo,108,2001,,Minister of Agriculture,Minister,"Agriculture, Livestock and Rural Development",3,PDGE,7,1,Bubi,3,2,0,,0,1
192,Teodoro Nguema Obiang Mangue,215,2004,,Minister of Agriculture,Minister,Agriculture and Forests,3,PDGE,7,1,Fang,5,1,1,Son,1,5
225,Teodoro Nguema Obiang Mange,215,2006,,Minister of Agriculture,Minister,Agriculture and Forestry,3,PDGE,7,1,Fang,5,1,1,Son,1,6
270,Teodoro Nguema Obiang Mangue,215,2008,,Minister of Agriculture,Minister,Agriculture and Forests,3,PDGE,7,1,Fang,5,1,1,Son,1,7
376,Miguel Oyono Ndong Mifumu,178,2012,,Minister of Agriculture,Minister,Agriculture and Forests,3,PDGE,7,1,Fang,5,1,1,,0,4
433,Alfredo Mitogo Mitogo,11,2013,,Minister of Agriculture,Minister,Agriculture and Forests,3,UP,12,0,Fang,5,1,1,,0,1
494,Nicolas Houtonji Acapo,180,2018,,Minister of Agriculture,Minister,"Agriculture, Livestock, Forests and Environment",3,PDGE,7,1,Fernandino,6,0,0,,0,1
551,Nicolás Houtonji Acapo,180,2020,,Minister of Agriculture,Minister,"Agriculture, Livestock, Forests and the Environment",3,PDGE,7,1,Fernandino,6,0,0,,0,2
503,Leandro Micó Angué,140,2018,,Minister of Civil Aviation,Minister,Civil Aviation,3,PDGE,7,1,Fang,5,1,1,,0,1
560,Norborto-Bartolomé Mensuy Mañe Andeme,233,2020,,Minister of Civil Aviation,Minister,Civil Aviation,3,PDGE,7,1,Fang,5,1,1,,0,1
55,Fernando Mabale Mba,82,1998,,Minister of Civil Service,Minister,Civil Service and Administrative Reforms,3,PDGE,7,1,Fang,5,1,1,,0,1
87,Fernando Mabale Mba,82,1999,,Minister of Civil Service,Minister,Civil Service and Administrative Reforms,3,PDGE,7,1,Fang,5,1,1,,0,2
93,Ignacio Milam Tang,114,2001,,Minister of Civil Service,Deputy PM,First Deputy PM and Minister of Civil Service and Administrative Reform,2,PDGE,7,1,Bubi,3,2,0,,0,3
424,Celestino Bonifacio Bakale Obiang,48,2013,,Minister of Commerce,Minister,Commerce and Business Promotion,3,PDGE,7,1,Fang,5,1,1,,0,3
502,Pastor Micha Ondo Bile,182,2018,,Minister of Commerce,Minister,Commerce and Promotion of Small and Medium-sized Businesses,3,PDGE,7,1,Fang,5,1,1,,0,7
4,Agustín Nse Nfumu,4,1994,,Minister of Culture,Minister,"Culture, Tourism and French Community Affairs",3,PDGE,7,1,Fang,5,1,1,,0,1
18,Pedro Cristino Bueriberi,184,1996,,Minister of Culture,Minister,Culture,3,UDENA,10,0,Bubi,3,2,0,,0,1
504,Rufino Ndong Esono Nchama,197,2018,,Minister of Culture,Minister,"Culture, Tourism and Craft Promotion",3,PDGE,7,1,Fang,5,1,1,,0,1
561,Rufino Ndong Esono Nchama,197,2020,,Minister of Culture,Minister,"Culture, Tourism and Craft Promotion",3,PDGE,7,1,Fang,5,1,1,,0,2
20,Marcelino Oyono Ntutumu,151,1996,,Minister of Economy and Finance,Minister,Economy and Finance,3,PDGE,7,1,Fang,5,1,1,Brother-in-law,1,1
46,Baltasar Engonga Edjo,34,1998,,Minister of Economy and Finance,Minister,Economic Affairs and Finance,3,PDGE,7,1,Fang,5,1,1,Nephew,1,1
78,Miguel Abia Biteo,169,1999,,Minister of Economy and Finance,Minister,Economy and Finance,3,PDGE,7,1,Bubi,3,2,0,,0,2
102,Baltazar Engonga Edjo,34,2001,,Minister of Economy and Finance,Minister,Economy and Finance,3,PDGE,7,1,Fang,5,1,1,Nephew,1,2
137,Baltasar Engonga Edjo,34,2003,,Minister of Economy and Finance,Minister,Economy and Finance,3,PDGE,7,1,Fang,5,1,1,Nephew,1,3
294,Aniceto Ebiaca Moete,20,2010,,Minister of Economy and Finance,Deputy PM,"Vice-Prime Minister First, in charge of Economy and Finance",2,PDGE,7,1,Bubi,3,2,0,,0,3
324,Aniceto Ebiaca Moete,20,2011,,Minister of Economy and Finance,Deputy PM,"Vice-Prime Minister First, in charge of Economy and Finance",2,PDGE,7,1,Bubi,3,2,0,,0,4
226,Jaime Ela Ndong / Oyana,116,2006,,"Minister of Economy, Commerce and Business Promotion",Minister,"Economy, Commerce and Business Promotion",3,PDGE,7,1,Fang,5,1,1,,0,2
263,Pedro Ondó Nguema,188,2008,,"Minister of Economy, Commerce and Business Promotion",Minister,"Economy, Commerce and Business Promotion",3,PDGE,7,1,Fang,5,1,1,,0,1
312,Pedro Ondó Nguema,188,2010,,"Minister of Economy, Commerce and Business Promotion",Minister,"Economy, Commerce and Business Promotion",3,PDGE,7,1,Fang,5,1,1,,0,2
341,Francisca Tatchup Belope,90,2011,,"Minister of Economy, Commerce and Business Promotion",Minister,"Economy, Commerce and Business Promotion",3,PDGE,7,1,Bubi,3,2,0,,0,2
366,Celestino Bonifacio Bakale Obiang,48,2012,,"Minister of Economy, Commerce and Business Promotion",Minister,"Economy, Commerce and Business Promotion",3,PDGE,7,1,Fang,5,1,1,,0,2
426,Conrado Okenve Ndoho,54,2013,,"Minister of Economy, Planning and Public Investment",Minister,"Economy, Planning and Public Investment",3,PDGE,7,1,Fang,5,1,1,,0,2
185,Jaime Ela Ndong,116,2004,,"Minister of Economy, Trade and Business Development",Minister,"Economy, Trade and Business Development",3,PDGE,7,1,Fang,5,1,1,,0,1
5,Ricardo Obama Nfubea,195,1994,,Minister of Education,Minister,Education and Science,3,PDGE,7,1,Fang,5,1,1,,0,1
19,Ricardo Obama Nfubea,195,1996,,Minister of Education,Minister,Education,3,PDGE,7,1,Fang,5,1,1,,0,2
47,Santiago Ngua Nfumu,204,1998,,Minister of Education,Minister,"Education, Science and Francophone Affairs",3,PDGE,7,1,Fang,5,1,1,,0,1
79,Santiago Ngua Nfumu,204,1999,,Minister of Education,Minister,"Education, Science and Francophone Affairs",3,PDGE,7,1,Fang,5,1,1,,0,2
103,Antonio Fernando Nve Ngu,22,2001,,Minister of Education,Minister,Education and Science,3,PDGE,7,1,Fang,5,1,1,,0,3
189,Cristobal Mañana Ela,58,2004,,Minister of Education,Minister,"Education, Science and Sports",3,PDGE,7,1,Fang,5,1,1,,0,4
227,Cristobal Mañana Ela,58,2006,,Minister of Education,Minister,"Education, Science and Sports",3,PDGE,7,1,Fang,5,1,1,,0,5
267,Anselmo Ondó Esono,21,2008,,Minister of Education,Minister,"Education, Science and Sports",3,PDGE,7,1,Fang,5,1,1,,0,1
371,Maria del Carmen Ekoro,155,2012,,Minister of Education,Minister,Education and Sciences,3,PDGE,7,1,Fang,5,1,1,,0,1
491,Jesús Engonga Ndong,119,2018,,Minister of Education,Minister,"Education, University and Sports",3,PDGE,7,1,Fang,5,1,1,,0,2
535,Clemente Engonga Nguema Onguene,50,2020,,Minister of Education,Deputy PM,"Deputy PM and Minister of Education, Universities and Sports",2,PDGE,7,1,Fang,5,1,1,,0,11
139,Marcelino Owono Edu,150,2003,,Minister of Finance,Minister,Finance and the Budget,3,PDGE,7,1,Fang,5,1,1,,0,2
187,Marcelino Owono,150,2004,,Minister of Finance,Minister,Finance and the Budget,3,PDGE,7,1,Fang,5,1,1,,0,3
228,Marcelino Owono Edu,150,2006,,Minister of Finance,Minister,Finance and the Budget,3,PDGE,7,1,Fang,5,1,1,,0,4
265,Estanislao Don Malavo,73,2008,,Minister of Finance,Minister,Finance and the Budget,3,PDGE,7,1,Bisió,2,0,0,,0,1
314,Melchor Esono Edjo,168,2010,,Minister of Finance,Minister,Finance and the Budget,3,PDGE,7,1,Fang,5,1,1,Nephew,1,5
343,Melchor Esono Edjo,168,2011,,Minister of Finance,Minister,Finance and the Budget,3,PDGE,7,1,Fang,5,1,1,Nephew,1,6
367,Marcelino Owono Edu,150,2012,,Minister of Finance,Minister,Finance and the Budget,3,PDGE,7,1,Fang,5,1,1,,0,8
425,Marcelino Owono Edu,150,2013,,Minister of Finance,Minister,Finance and the Budget,3,PDGE,7,1,Fang,5,1,1,,0,9
490,Lucas Abaga Nchama,142,2018,,Minister of Finance,Minister,"Finance, Economy and Planning",3,PDGE,7,1,Fang,5,1,1,,0,1
548,César Augusto Mba Abogo,230,2020,,Minister of Finance,Minister,"Finance, the Economy and Planning",3,PDGE,7,1,Fang,5,1,1,,0,1
138,Fortunato Ofa Mbo Nchama,88,2003,,Minister of Fisheries,Minister,Fisheries and the Environment,3,PDGE,7,1,Fang,5,1,1,,0,1
194,Fortunato Ofa Mbo Nchama,88,2004,,Minister of Fisheries,Minister,Fishing and Environment,3,PDGE,7,1,Fang,5,1,1,,0,2
229,Vicente Rodriguez Siosa,223,2006,,Minister of Fisheries,Minister,Fisheries and the Environment,3,PDGE,7,1,Bubi,3,2,0,,0,3
272,Anastasio Asumu Mum Muñoz,14,2008,,Minister of Fisheries,Minister,Fisheries and Environment,3,PDGE,7,1,Annobonés,1,0,0,,0,1
318,Anastasio Asumu Mum Muñoz,14,2010,,Minister of Fisheries,Minister,Fisheries and Environment,3,PDGE,7,1,Annobonés,1,0,0,,0,2
347,Anastasio Asumu Mum Muñoz,14,2011,,Minister of Fisheries,Minister,Fisheries and Environment,3,PDGE,7,1,Annobonés,1,0,0,,0,3
379,Cresencio Tamarite Castaño,57,2012,,Minister of Fisheries,Minister,Fisheries and Environment,3,PDGE,7,1,Annobonés,1,0,0,,0,1
436,Cresencio Tamarite Castaño,57,2013,,Minister of Fisheries,Minister,Fisheries and Environment,3,PDGE,7,1,Annobonés,1,0,0,,0,2
495,Adoración Salas Chonco,1,2018,,Minister of Fisheries,Minister,Fisheries and Water Resources,3,PDGE,7,1,Bubi,3,2,0,,0,1
552,Adoración Salas Chonco,1,2020,,Minister of Fisheries,Minister,Fishing and Water Resources,3,PDGE,7,1,Bubi,3,2,0,,0,2
6,Feliciano Nse Mangue,81,1994,,Minister of Foreign Affairs,Minister,Foreign Affairs and Cooperation,3,PDGE,7,1,Fang,5,1,1,,0,1
21,Miguel Oyono Ndong Mifumu,178,1996,,Minister of Foreign Affairs,Minister,Foreign Affairs and Cooperation,3,PDGE,7,1,Fang,5,1,1,,0,1
35,Miguel Oyono Ndong Mifumu,178,1998,,Minister of Foreign Affairs,Deputy PM,"First Deputy PM, in charge of Foreign Affairs",2,PDGE,7,1,Fang,5,1,1,,0,2
76,Santiago Nsobeya Efuman Nchama,206,1999,,Minister of Foreign Affairs,Minister,Foreign Affairs and International Cooperation,3,PDGE,7,1,Fang,5,1,1,,0,1
104,Santiago Nsobeya Efuman,206,2001,,Minister of Foreign Affairs,Minister,"Foreign Affairs, International Cooperation and Francophone Affairs",3,PDGE,7,1,Fang,5,1,1,,0,2
140,Pastor Micha Ondo Bile,182,2003,,Minister of Foreign Affairs,Minister,"Foreign Affairs, International Cooperation and Francophone Affairs",3,PDGE,7,1,Fang,5,1,1,,0,1
178,Pastor Micha Ondó Bilé,182,2004,,Minister of Foreign Affairs,Minister,"Foreign Affairs, International Cooperation and Francophone Affairs",3,PDGE,7,1,Fang,5,1,1,,0,2
230,Pastor Micha Ondo Bile,182,2006,,Minister of Foreign Affairs,Minister,"Foreign Affairs, International Cooperation and Francophone Affairs",3,PDGE,7,1,Fang,5,1,1,,0,3
256,Pastor Micha Ondo Bile,182,2008,,Minister of Foreign Affairs,Minister,"Foreign Affairs, International Cooperation and Francophone Affairs",3,PDGE,7,1,Fang,5,1,1,,0,4
307,Pastor Micha Ondó Bile,182,2010,,Minister of Foreign Affairs,Minister,"Foreign Affairs, International Cooperation and Francophone Affairs",3,PDGE,7,1,Fang,5,1,1,,0,5
336,Pastor Micha Ondó Bile,182,2011,,Minister of Foreign Affairs,Minister,"Foreign Affairs, International Cooperation and Francophone Affairs",3,PDGE,7,1,Fang,5,1,1,,0,6
365,Agapito Mba Mokuy,3,2012,,Minister of Foreign Affairs,Minister,Foreign Affairs and Cooperation,3,PDGE,7,1,Fang,5,1,1,,0,1
423,Agapito Mba Mokuy,3,2013,,Minister of Foreign Affairs,Minister,Foreign Affairs and Cooperation,3,PDGE,7,1,Fang,5,1,1,,0,2
487,Simeón Oyono Esono Angue,213,2018,,Minister of Foreign Affairs,Minister,Foreign Affairs and Cooperation,3,PDGE,7,1,Fang,5,1,1,,0,1
545,Simeón Oyono Esono Angue,213,2020,,Minister of Foreign Affairs,Minister,Foreign Affairs and Cooperation,3,PDGE,7,1,Fang,5,1,1,,0,2
51,Teodoro Nguema Obiang Mangue,215,1998,,Minister of Forestry and Environment,Minister,Forestry and Environment,3,PDGE,7,1,Fang,5,1,1,Son,1,1
7,Bernabe Ngore,37,1994,,Minister of Health,Minister,Health and the Environment,3,PDGE,7,1,Ndowé,7,0,0,,0,1
22,Dario Ndong Olomo,61,1996,,Minister of Health,Minister,Health,3,PDGE,7,1,Fang,5,1,1,,0,1
85,Juan Antonio Ntutumu,132,1999,,Minister of Health,Minister,Health and Social Welfare,3,PDGE,7,1,Fang,5,1,1,,0,1
105,Marcelino Nguema Onguene,149,2001,,Minister of Health,Minister,Health and Social Welfare,3,PDGE,7,1,Fang,5,1,1,,0,1
141,Justino Obama Nve,139,2003,,Minister of Health,Minister,Health and Social Welfare,3,PDGE,7,1,Fang,5,1,1,,0,1
190,Justino Obama Nvé,139,2004,,Minister of Health,Minister,Health and Social Welfare,3,PDGE,7,1,Fang,5,1,1,,0,2
231,Antonio Martin Ndong Nchuchuma,24,2006,,Minister of Health,Minister,Health and Social Welfare,3,PDGE,7,1,Fang,5,1,1,Son-in-law,1,2
268,Francisco Pascual Obama Asue,100,2008,,Minister of Health,Minister,Health and Social Welfare,3,PDGE,7,1,Fang,5,1,1,,0,4
372,Tomas Mecheba Fernández,219,2012,,Minister of Health,Minister,Health and Social Welfare,3,PSGE,9,0,Ndowé,7,0,0,,0,3
429,Diosdado-Vicente Nsue Milang,65,2013,,Minister of Health,Minister,Health and Social Welfare,3,PDGE,7,1,Fang,5,1,1,,0,2
544,Diosdado Nsue Milang,65,2020,,Minister of Health,Minister,Health and Social Welfare,3,PDGE,7,1,Fang,5,1,1,,0,4
244,Angel Masie Mibuy,18,2006,,Minister of in charge of Relations with Parliament and Legal Affairs,Minister,in charge of Relations with Parliament and Legal Affairs of the governm,3,PDGE,7,1,Fang,5,1,1,,0,2
8,Severino Obiang Bengono,211,1994,,Minister of Industry,Minister,"Industry, Energy and Small Business",3,PDGE,7,1,Fang,5,1,1,,0,1
24,Constantino Ekong Zue,55,1996,,Minister of Industry,Minister,Industry,3,PDGE,7,1,Fang,5,1,1,,0,2
48,Vidal Choni Becoba,226,1998,,Minister of Industry,Minister,"Industry, Commerce and Small and Medium Enterprises",3,PDGE,7,1,Bubi,3,2,0,,0,2
80,Constantino Ekong Nsue,55,1999,,Minister of Industry,Minister,"Industry, Commerce and Small and Medium Enterprises",3,PDGE,7,1,Fang,5,1,1,,0,4
106,Constantino Ekong Nsue,55,2001,,Minister of Industry,Minister,"Industry, Commerce and Small and Medium Enterprises",3,PDGE,7,1,Fang,5,1,1,,0,5
497,Miguel Ekua Ondó,172,2018,,Minister of Industry,Minister,Industry and Energy,3,PDGE,7,1,Fang,5,1,1,,0,1
554,Miguel Ekua Ondó,172,2020,,Minister of Industry,Minister,Industry and Energy,3,PDGE,7,1,Fang,5,1,1,,0,2
25,Santos Bikomo Nanguande,208,1996,,Minister of Information,Minister,Information,3,PDGE,7,1,Bisió,2,0,0,,0,1
52,Lucas Nguema Esono,143,1998,,Minister of Information,Minister,"Information, Tourism and Culture",3,PDGE,7,1,Fang,5,1,1,,0,1
195,Alfonso Nsue Mokuy,10,2004,,Minister of Information,Minister,"Information, Culture and Tourism, Government Spokeperson",3,CLD,2,0,Fang,5,1,1,,0,2
232,Santiago Nsobeya Efuman Nchama,206,2006,,Minister of Information,Minister,"Information, Tourism, Culture and Government Spokesman",3,PDGE,7,1,Fang,5,1,1,,0,3
273,Jeronimo Osa Osa Ekoro,118,2008,,Minister of Information,Minister,"Information, Culture and Tourism",3,PDGE,7,1,Fang,5,1,1,,0,3
319,Jeronimo Osa Osa Ekoro,118,2010,,Minister of Information,Minister,"Information, Tourism and Culture, Government's Spokesman",3,PDGE,7,1,Fang,5,1,1,,0,4
348,Jeronimo Osa Osa Ekoro,118,2011,,Minister of Information,Minister,"Information, Tourism and Culture, Government's Spokesman",3,PDGE,7,1,Fang,5,1,1,,0,5
377,Agustin Nse Nfumu,4,2012,,Minister of Information,Minister,"Information, Press and Radio",3,PDGE,7,1,Fang,5,1,1,,0,3
434,Teobaldo Nchaso Matomba,214,2013,,Minister of Information,Minister,"Information, Press and Radio",3,PDGE,7,1,Fang,5,1,1,,0,2
