item,name,gender,positionItem,position,startDate,endDate,source,sourceDate,psid
Q112186218,LEANDRO BACALE NCOGO,male,Q112186154,Consejero a la Presidenciadel Gobierno en Materia de Logística y Conservación del Material Militar en el Ministerio de Defensa Nacional,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186218-1DF35142-B7B2-4C88-A1D9-2FD28AD3EE3E
Q112186219,TOMAS ESONO AVA MBUY,male,Q112186154,Consejero a la Presidencia del Gobierno en Materia de Asuntos Jurídicos y Administrativos en el Ministerio del Interior y Corporaciones Locales,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186219-9EA61151-B721-429E-AF69-EC0E2968DB5B
Q112186220,AGAPITO ONA NGUEMA OYANA,male,Q112186154,Consejero a la Presidencia del Gobierno en Materia de Administración Territorial en el Ministerio del Interior y Corporaciones Locales,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186220-92A9F159-F920-4F9D-8248-9FF51874D43F
Q112186222,ANGEL ESONO NSUGA,male,Q112186154,Consejero a la Presidencia del Gobierno en el Ministerio de Seguridad Nacional,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186222-901C273B-FC12-4B36-B484-A41512EC2D64
Q112186223,EUSEBIO IPICO PENDA,male,Q112186154,"Consejero o lo Presidencia del Gobierno en Materia de Presupuestos y Control Financiero en el Ministerio de Hacienda, Economía y Planificación",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186223-2A790AF6-CCF4-4F4F-A6F8-ED267A245831
Q112186224,FELIPE ONDONSUE ADA,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Enseñanza Primaria y Secundaria en el Ministerio de Educación, Enseñanza Universitaria y Deportes",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186224-4317D63D-5664-413D-8F94-F82F24761E4B
Q112186225,SANTIAGO AYONG OTUNGA,male,Q112186154,Consejero a la Presidencia del Gobierno en Materia de Coordinación Hospitalaria y Enfermedades Crónicas en el Ministerio de Sanidad y Bienestar Social,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186225-BE403157-7D94-4785-8D07-48B1A3CE9720
Q112186226,CEFERINO EBURI MATA,male,Q112186154,"Consejero a lo Presidencia del Gobierno en Materia de Urbanismo y Catastro en el Ministerio de Obras Públicas, Viviendas y Urbanismo",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186226-CBD71104-3C81-461E-8E93-FBFD3C913ECE
Q112186227,MALELA IDJABE NGANDI,male,Q112186154,"Consejero a Presidencia del Gobierno en Materia de Política Laboral en el Ministerio de Trabajo, Fomento de Empleo y Seguridad Social",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186227-AB4C262D-B353-4695-8F3A-86F481CCF528
Q112186228,SANTIAGO BEE AYETEBE,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Trabajo en el Ministerio de Trabajo, Fomento de Empleo y Seguridad Social",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186228-6E5C0571-7F2D-44DB-8F6F-AA3B46F703E7
Q112186230,FIDEL OBAMA ASUMU,male,Q112186154,Consejero o la Presidencia del Gobierno en el Ministerio de Minas e Hidrocarburos,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186230-159E0DD2-5325-4E35-8EA9-F6922061E0F1
Q112186231,VICTORIANO NSUE ONDO,male,Q112186154,"Consejero a la Presidencia del Gobierno Materia de Agricultura, Ganadería y Alimentación en el Ministerio de Agricultura, Ganadería, Bosques y Medio Ambiente",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186231-7698ED69-F36A-4055-B16D-5107F27F8BA1
Q112186232,FLORENTINO MANGUIRE ENEME,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Bosques y Medio Ambiente en el Ministerio de Agricultura, Ganadería, Bosques y Medio Ambiente",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186232-6A17EC3A-3CC2-45B4-8527-90F8F0FCBA62
Q112186233,PILAR MEDJA ELA NAMIL,female,Q112186154,Consejera a la Presidencia del Gobierno en el Ministerio de Pesca y Recursos Hídricos,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186233-70989037-0A90-436F-8618-BCD655B94806
Q112186234,JOSÉ ESONO BACALE EFUNTAM,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Información, Radio y Televisión en el Ministerio de Información, Prensa y Radio",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186234-A6429BE1-8B8E-4459-9DA0-B7399622B29D
Q112186235,JUAN-LORENZO MACHIMBO BISABINGA,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Supervisión y Control de Servicios Informativos en el Ministerio de Información, Prensa y Radio",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186235-4EF3DC06-CA73-48F7-9E3F-91DCE9DC6194
Q112186236,ANTONINA MIKO MIKUE,female,Q112186154,Consejera a la Presidencia del Gobierno en Materia de Igualdad de Género en el Ministerio de Asuntos Sociales e Igualdad de Género,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186236-E315D750-CDC7-4588-8270-E90B143D4F76
Q112186237,RAMÓN BENGONO MIKO NZANG,male,Q112186154,"Consejero a lo Presidencia del Gobierno en Materia de Asuntos Sociales, Personas con Discapacidad, Tercera Edad y Coordinación Multisectorial en el Ministerio de Asuntos Sociales e Igualdad de Género",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186237-54CD565A-F659-44BB-BC9C-D3A946590A8A
Q112186238,PEDRO MONSUY ASUMU,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Transportes y Correos en el Ministerio de Transportes, Correos y Telecomunicaciones",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186238-15230D2A-FAC5-4233-8C56-A6D8FFCFEC11
Q112186239,JUAN NGUEMA MAÑE,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Puertos en el Ministerio de Transportes, Correos y Telecomunicaciones",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186239-282F1989-AF23-4556-B012-266DE1102E22
Q112186240,SANTIAGO-MARTÍN EZOMO MBA NFE,male,Q112186154,Consejero a la Presidencia del Gobierno en el Ministerio de la Función Pública y Reforma Administrativa,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186240-EBBCB5FC-834B-4DAE-97C7-B831810BEFE3
Q112186241,AMBROSIO NDONG MASIE,male,Q112186154,Consejero a la Presidencia del Gobierno en el Ministerio de Comercio y Promoción de pequeñas y Medianas Empresas,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186241-FC16F332-9B1A-4186-B160-71E59C468623
Q112186242,LEANDRO NGUEMA MBA EYANG,male,Q112186154,Consejero a la Presidencia del Gobierno en el Ministerio de Aviación Civil,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186242-A96182A9-870A-473D-91AF-638625A6559E
Q112186243,ANTONIO SIBACHA BUECHEKU,male,Q112186154,"Consejero a la Presidencia del Gobierno en el Ministerio de Cultura, Turismo y Promoción Artesanal",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186243-43BC6FD8-A928-4699-9002-E584528C5CD0
Q112186566,ÁNGEL-JOSÉ NTUTUMU ESONO BINDANG,male,Q112186567,Secretario General del Gabinete Civil de la Presidencia de la República,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186566-3E1A389C-573D-490C-A83B-22544A6D7BF8
Q112186582,MATÍAS NGUEMA MBA MEDJA,male,Q112186567,Secretario General del Ministerio de Asuntos Exteriores y Cooperación,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186582-FB9289C2-8DEA-4998-B85B-E57D23C379C8
Q112186584,BALTASAR NSENG MESIAN,male,Q112186567,"Secretario General del Ministerio de Justicia, Culto e Instituciones Penitenciarias",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186584-5A3A5C07-3588-47DF-8749-DA40582BF4F1
Q112186587,RAIMUNDO ONDO EDJANG MANGUE,male,Q112186567,Secretario General del Ministerio de Defensa Nacional,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186587-D367C2B2-2C34-4CFE-8F90-C75BBFE24297
Q112186590,VICTORIANO ENGONGA ONDO KEA,male,Q112186567,Secretario General del Ministerio del Interior y Corporaciones Locales,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186590-BFB23BF1-A7A3-4F22-BE40-004EC57FA923
Q112186591,SANTIAGO EDU ASAMA NCHAMA,male,Q112186567,Secretario General del Ministerio de Seguridad Nacional,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186591-4F591E5B-8BF8-46B5-A28F-F1ADCC91B1E0
Q112186592,ZENÓN OBIANG OBIANG AVOMO,male,Q112186567,"Secretario General del Ministerio de Hacienda, Economía y Planificación",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186592-D04C6FD2-F6A9-4FF5-965C-A66AD6E15C35
Q112186593,ARMANDO NDEMESOGO ESONO,male,Q112186567,Secretario General del Ministerio de Educación Enseñanza Universitaria y Deportes,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186593-743BC8CF-B1C0-49C9-BF62-6B73207C9C34
Q112186594,MARÍA-GORETTI MITOGO RICHIBUE,female,Q112186567,Secretaria General del Ministerio de Sanidad y Bienestar Social,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186594-4FCCE07A-F230-4E41-901B-FB630EA3039B
Q112186595,TELESFORO ESONO NCUNA,male,Q112186567,"Secretario General del Ministerio de Obras Públicas, Vivienda y Urbanismo",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186595-D0C2C62C-FAB3-48F2-A428-47D7CD0CBFDB
Q112186596,BLAS EDU ALOGO BIKIE,male,Q112186567,"Secretario General del Ministerio de Trabajo, Fomento de Empleo y Seguridad Social",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186596-85205194-0DE1-40FF-8BE1-57655674018B
Q112186597,JOSÉ-MANUEL NDONG NSE MIKUE,male,Q112186567,Secretario General del Ministerio de Minas e Hidrocarburos,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186597-0C83FD12-6249-4CE5-9D9D-EDAD2A30EF07
Q112186598,JOSÉ RAMÓN OBAMA SIMA,male,Q112186567,Secretario General del Ministerio de Industria y Energía,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186598-928AAF45-10AD-4B5C-A58E-CE63E3C6F1F5
Q112186599,FRANCISCO MEDINA CATALAN,male,Q112186567,"Secretario General del Ministerio de Agricultura, Ganadería, Bosques y Medio Ambiente",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186599-B94AA65F-1C79-40A0-B7CE-BEC8A01DA100
Q112186600,PAULINO NGUEMA MEBAHA,male,Q112186567,Secretario General del Ministerio de Pesca y Recursos Hídricos,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186600-4ABA36AB-9746-467D-9464-1FF3211F984E
Q112186601,CLEMENTE MEDA SERICHE,male,Q112186567,"Secretario General del Ministerio de Información, Prensa y Radio",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186601-77CBB446-DFD6-4D79-B831-CFD00BF578B1
Q112186602,INMACULADA ELO ASANGONO,female,Q112186567,Secretaria General del Ministerio de Asuntos Sociales e Igualdad de Género,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186602-CB5AE1FA-DC83-4DD1-AA64-DDD75D4DEBF8
Q112186604,FRANCISCO-JAVIER BELA BOYA,male,Q112186567,"Secretario General del Ministerio de Transportes, Correos y Telecomunicaciones",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186604-22607EB3-4820-4163-B8C3-82E2A043C058
Q112186607,JESÚS MIKO NGUEMA MANGUE,male,Q112186567,Secretario General del Ministerio de la Función Pública y Reforma Administrativa,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186607-E4C238B6-45C2-4F6D-B68F-2D61AC8552CC
Q112186610,MARTÍN OBIANG NVO OMOMONO,male,Q112186567,Secretario General del Ministerio de Comercio y Promoción de Pequeñas y Medianas Empresas,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186610-117580A9-139C-459E-A4B5-767D32B827D9
Q112186612,UBALDO-MARCOS NGUERE,male,Q112186567,Secretario General del Ministerio de Aviación Civil,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186612-31625CEF-F69A-4F83-A80E-61678FE59C08
Q112186616,GENARO ABESO OSA ECORO,male,Q112186567,"Secretario General del Ministerio de Cultura, Turismo y Promoción Artística",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186616-DE09AA91-3B94-477B-BA15-0F441250ACAE
Q112187548,ÁNGEL-FRANCISCO NGOMO NCHAMA,male,Q112187535,Director General de Trabajo,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187548-81B0D782-3D43-45FC-9080-8580F6DB54C4
Q112187549,ZACARIAS OVONO ENVORO EFUA,male,Q112187535,Director General de Inspección Técnica de Vehículos (ITV),2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187549-3E8CCBAB-999A-482C-AECA-8BCD2D6D3844
Q112187550,VALERO ONDO NGUEMA,male,Q112187535,"Director General de Estudios, Planificación, Sistema de Información Sanitaria, Seguimiento y Evolución",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187550-4639C8E4-1BE5-42D2-A4A6-D0316BC6A795
Q112187552,VALERIANO OVONO NFA,male,Q112187535,Director General Adjunto de Gabinete Militar,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187552-580DA145-FF5A-4DEE-AB74-568AF2555EE3
Q112187553,TOMAS MONSUY ALOGO OBONO,male,Q112187535,Director General de Inspección de Vehículos del Parque Móvil Civil,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187553-2F3C277B-4CBC-4318-B804-A10FF0E985A0
Q112187554,TOLOMEO MIKO NSIBI ANGONO,male,Q112187535,Director General Adjunto de Ceremonias,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187554-D7D49FB8-4694-4DAF-AFAC-90A752931312
Q112187555,TEODORO NSUE OYONO,male,Q112187535,Director General de Logística e Instalaciones,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187555-4E76A614-5F01-4573-AEB5-EC71CCC61945
Q112187556,TEODORO EKA EKA OBONO,male,Q112187535,Director General Adjunto de la Gendarmería,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187556-44D7E76D-EA61-423E-BA67-ACE916A095F7
Q112187557,TEODORO EBANG EKUA,male,Q112187535,Director General Adjunto de Palacios y Residencias Oficiales de la Región Continental,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187557-73BF5833-4103-410D-B9DE-2ADFBD24C868
Q112187558,SIMÓN-PEDRO ONDO NKARA,male,Q112187535,Director General de Asuntos Jurídicos y Seguimiento de Contratos,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187558-598D1969-A175-4E42-BDDC-ADCB320EF1E5
Q112187559,SIMON-PEDRO ASUMU MANGUE,male,Q112187535,Director General del Gabinete,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187559-F1136F48-7A00-4F3B-9336-825BC32AC697
Q112187560,SECUNDINO NDONG NGUEMA ABEGUE,male,Q112187535,Director General de Industria y Energía,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187560-93B500F6-FE3B-4A2A-8139-ED3F2DDF499F
Q112187561,SATURNINO MOTU NOONG EFIEI,male,Q112187535,Director General de la Gendarmería Nacional,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187561-EC0E78DB-696D-4C32-B9DB-248735971440
Q112187562,SANTOS-MARIANO ANGO ANGO,male,Q112187535,Director General Adjunto de los Servicios Centrales de la Presidencia del Gobierno en Bata,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187562-B3A7228E-E903-46D7-860D-C086166F607D
Q112187564,SANTOS NOE ETAME MAYOCO,male,Q112187535,Director General de Seguimiento y Evolución del Personal de las Entidades Públicas,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187564-234FABAA-0B00-44B5-B1C2-812552AD5931
Q112187565,SANTIAGO OYONO AFUGU,male,Q112187535,Director General de Autoridad Aeronáutica,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187565-ECB4DA25-29D8-49CE-A9A5-0D4E0468AF74
Q112187566,SANTIAGO OBAMA BENMA,male,Q112187535,Director General de Economía y Cuentas Nacionales,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187566-49B41342-D764-48D4-9AA0-993800CE867E
Q112187567,SANTIAGO NDONG ASUMU,male,Q112187535,"Director General Adjunto de Gabinete Civil, Encargado de Asuntos Administrativos",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187567-8C5D2FBD-CAFD-422A-81BD-F9E45AB1ABAF
Q112187568,SALVADOR OSA OBIANG ANDEME,male,Q112187535,"Director General de Infraestructura Sanitaria, Logística y Patrimonio Sanitario",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187568-CD50CAAF-50AA-4AAC-BB5E-A4C9C0C07F38
Q112187569,SALVADOR ESONO OBONO,male,Q112187535,Director General de Protocolo de Estado,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187569-CDA39761-C60A-4F03-A72B-99DAAFC0FF9B
Q112187570,RUFINO-ROMUALDO OBAMA NCHAMA,male,Q112187535,Director General de Formación Profesional Reglada,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187570-D2E0EA00-78F3-4BB4-AA0D-AEF4578AA51A
Q112187571,ROQUE NCULU MIFUMU,male,Q112187535,Director General de Secretariado del Gobierno,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187571-153346BF-79C3-4599-914A-931656BDD3BB
Q112187572,ROBUSTIANO NDONG EYEGUE,male,Q112187535,Director General de Hidrocarburos,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187572-F2496CFB-5C7D-425F-8956-02ACB2D07C5B
Q112187573,REGINALDO NCHUCHUMA NDONG,male,Q112187535,Director General de Asuntos Económicos y financieros,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187573-9595BB4E-DDB9-4A5D-80BB-670210947BFB
Q112187574,RAMÓN NKA ELA NCHAMA,male,Q112187535,Director General de Correos y Transportes Terrestres,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187574-D5056972-2E10-434A-B869-1E89135A1706
Q112187575,RAMÓN NDONG OBIANG,male,Q112187535,Director General de Protocolo,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187575-9B71C38A-E67A-4C32-BDDD-CE445C406815
Q112187577,QUERUBIN NGUEMA ESONO,male,Q112187535,Director General de Asistencia Sanitaria de lo Presidencia de la República,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187577-12F7C366-E164-4B47-BA8B-72CD7C1E5B88
Q112187578,PERGENTINO ESANGUI ONDO,male,Q112187535,Director General de Educación Superior y Ordenación Académica,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187578-355C3381-9008-403F-91DF-28D020E382CD
Q112187579,PEDRO-OSCAR MBA EDJANG NGOHO,male,Q112187535,Director General de Transporte Aéreo y Relaciones Internacionales,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187579-4ABB1749-9B8A-4385-B5D9-5E886B7801E5
Q112187580,PEDRO MBA OBIANG ABANG,male,Q112187535,Director General de Política Interior,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187580-2486C77A-A81E-47E1-9C1F-78FA2C8915A3
Q112187582,PEDRO MAÑANA ASAMA,male,Q112187535,Director General de Investigación de Accidentes e Incidentes Aéreo,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187582-6AD6BF49-053D-4DE7-9658-E5DAC2B414E2
Q112187583,PATRICIO MAÑE ELA NCHAMA,male,Q112187535,Director General de Auditorias,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187583-A848B0D2-7AAD-4185-8CA1-683DB36A3F66
Q112187584,PASCUAL NSUE EYI,male,Q112187535,"Director General de Asuntos Consulares, Culturales, Jurídicos y Diáspora",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187584-16AB30D9-976D-4049-9D15-60E6345CF957
Q112187585,PASCASIO EFA OBAMA NCHAMA,male,Q112187535,"Director General de Reglamentación, Regulación e Inspecciones",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187585-D829A276-EEA6-44D6-9E7C-30F101B3CD85
Q112187586,PABLO ESONO ESONO,male,Q112187535,Director General de Explotación e Industrialización Forestal,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187586-BE8851B4-F5C8-48D5-BE5C-6FD3587C7F54
Q112187587,OSCAR GARCIA BERNICO,male,Q112187535,Director General de Empresas Estatales y Activos,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187587-92CAC2DC-97A1-426A-A2BE-B7C67D405B28
Q112187588,NICOLAS-FERNANDO OKIRI ABAHA,male,Q112187535,Director General de Caja Autónomo y Amortización de la Deuda Pública,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187588-FBE6B5F3-D3E1-4E20-A177-13DA7F89FDC4
Q112187590,MODESTO EDU NSUE,male,Q112187535,Director General del Parque Móvil Militar,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187590-B1786717-EDCE-43DD-8364-1169097CF3B0
Q112187591,MIGUEL NDONG OBIANG OMOMONO,male,Q112187535,Director General de Policía Nacional,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187591-7D192C5A-4D72-4BC6-8350-C594505E2655
Q112187592,MIGUEL MBA OBIANG,male,Q112187535,"Director General de Centros Culturales, Cines y Teatros",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112187592-1A6741F4-7BE8-430E-B930-0DE859656C62
